<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VCB,20201217,75717.66776774536,75717.66776774536,72953.12817379116,73721.05583877844,2305960
VCB,20201216,75640.87500124663,76715.97373222881,75103.32563575554,76715.97373222881,740700
VCB,20201215,76024.83883374027,76639.18096573009,74105.01967127208,75103.32563575554,1433260
VCB,20201214,74642.56903676318,76715.97373222881,73644.26307227972,76715.97373222881,931080
VCB,20201211,74642.56903676318,74719.3618032619,73644.26307227972,74642.56903676318,1366230
VCB,20201210,74105.01967127208,75026.53286925681,74028.22690477336,74642.56903676318,1299820
VCB,20201209,71878.02944280898,74105.01967127208,71570.85837681407,74105.01967127208,1198160
VCB,20201208,71417.27284381662,72108.40774230516,70265.38134633571,71494.06561031535,823320
VCB,20201207,70188.58857983697,71647.6511433128,70188.58857983697,71494.06561031535,945460
VCB,20201204,71570.85837681407,71801.23667631026,69958.21028034079,69958.21028034079,860900
VCB,20201203,71801.23667631026,72108.40774230516,70956.51624482425,71801.23667631026,772760
VCB,20201202,70649.34517882935,71801.23667631026,70265.38134633571,71801.23667631026,746710
VCB,20201201,69651.03921434589,71570.85837681407,69651.03921434589,70649.34517882935,1162270
VCB,20201130,71954.8222093077,72185.20050880389,70265.38134633571,71417.27284381662,1484340
VCB,20201127,72185.20050880389,72569.16434129752,71570.85837681407,72569.16434129752,1210580
VCB,20201126,71801.23667631026,72185.20050880389,71110.1017778217,72185.20050880389,698350
VCB,20201125,71033.30901132298,72338.78604180134,70879.72347832553,71801.23667631026,1124020
VCB,20201124,70649.34517882935,70956.51624482425,69727.83198084461,70956.51624482425,1038580
VCB,20201123,70726.13794532807,70956.51624482425,69881.41751384207,70342.17411283443,648830
VCB,20201120,69881.41751384207,71033.30901132298,69190.28261535351,71033.30901132298,1231960
VCB,20201119,67347.25621938406,69267.07538185225,67116.87791988788,69267.07538185225,2584440
VCB,20201118,67270.46345288533,67347.25621938406,66809.70685389296,67270.46345288533,906810
VCB,20201117,65888.19365590824,67270.46345288533,65657.81535641204,67270.46345288533,548250
VCB,20201116,66963.29238689042,67424.04898588278,65273.85152391841,65888.19365590824,1250340
VCB,20201113,66502.53578789806,66732.91408739424,66195.36472190314,66732.91408739424,417840
VCB,20201112,65811.4008894095,66425.74302139932,65734.60812291078,66348.9502549006,405350
VCB,20201111,65657.81535641204,66502.53578789806,65197.05875741968,65197.05875741968,1032520
VCB,20201110,66118.57195540442,67040.08515338914,65350.64429041714,65350.64429041714,1511520
VCB,20201109,65273.85152391841,65888.19365590824,65120.26599092096,65657.81535641204,1007000
VCB,20201106,65350.64429041714,65350.64429041714,64505.923858931135,65273.85152391841,323160
VCB,20201105,65657.81535641204,65657.81535641204,65120.26599092096,65273.85152391841,507960
VCB,20201104,65273.85152391841,65657.81535641204,64736.30215842732,65273.85152391841,394660
VCB,20201103,65888.19365590824,65964.98642240696,65043.47322442223,65273.85152391841,308550
VCB,20201102,63737.996193943865,65888.19365590824,63737.996193943865,65888.19365590824,366300
VCB,20201030,64198.752792936226,64813.094924926045,63584.41066094641,63737.996193943865,1090610
VCB,20201029,64813.094924926045,65120.26599092096,64121.9600264375,64198.752792936226,764720
VCB,20201028,66041.77918890568,66425.74302139932,64121.9600264375,64659.509391928594,896330
