,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
788,VCB,20200415,53524.558249613096,54753.24251359274,53524.558249613096,54446.07144759783,1117740
789,VCB,20200414,54138.90038160292,54369.2786810991,52065.49568613728,53678.14378261056,1964570
790,VCB,20200413,54215.69314810164,55137.20634608638,53754.93654910928,54369.2786810991,1046830
791,VCB,20200410,54522.86421409656,55213.99911258511,53447.76548311437,54215.69314810164,1674380
792,VCB,20200409,52219.08121913473,55290.79187908383,52219.08121913473,54522.86421409656,2243720
793,VCB,20200408,51451.15355414746,52372.66675213219,51297.56802115,51835.11738664109,1778380
794,VCB,20200407,52219.08121913473,52987.008884122006,51297.56802115,52372.66675213219,1842570
795,VCB,20200406,51835.11738664109,52449.45951863092,50683.22588916018,52219.08121913473,2111200
796,VCB,20200403,49915.2982241729,50913.60418865636,49147.37055918563,50299.26205666654,1726690
797,VCB,20200401,47227.55139671744,50606.43312266145,47227.55139671744,49915.2982241729,1298320
798,VCB,20200331,47227.55139671744,49224.16332568436,46075.659899236525,47611.51522921108,957500
799,VCB,20200330,46152.45266573525,47150.75863021871,45922.074366239074,46843.5875642238,2155700
800,VCB,20200327,48609.82119369454,50606.43312266145,47995.47906170472,49224.16332568436,1849620
801,VCB,20200326,47611.51522921108,49684.91992467672,47227.55139671744,48533.02842719581,2035590
802,VCB,20200325,46075.659899236525,47611.51522921108,45845.281599740345,47611.51522921108,1835730
803,VCB,20200324,43925.46243727216,44846.97563525689,43464.70583827979,44539.80456926198,1498070
804,VCB,20200323,44232.63350326707,44923.76840175562,43925.46243727216,43925.46243727216,1920070
805,VCB,20200320,50683.22588916018,50913.60418865636,47227.55139671744,47227.55139671744,3603360
806,VCB,20200319,51681.53185364364,52756.63058462583,50683.22588916018,50683.22588916018,1231150
807,VCB,20200318,52219.08121913473,54292.48591460037,52219.08121913473,53217.387183618186,1603360
808,VCB,20200317,48840.19949319072,51835.11738664109,48840.19949319072,51835.11738664109,1384590
809,VCB,20200316,54522.86421409656,54522.86421409656,51067.18972165382,51527.94632064618,1247540
810,VCB,20200313,51220.77525465127,56058.71954407111,51220.77525465127,54522.86421409656,1959750
811,VCB,20200312,55290.79187908383,56058.71954407111,55060.41357958765,55060.41357958765,1602400
812,VCB,20200311,61741.38426497694,61741.38426497694,57133.818275053294,59130.43020402021,1996560
813,VCB,20200310,59898.35786900749,61357.42043248331,57901.74594004057,61357.42043248331,2267240
814,VCB,20200309,60666.28553399477,62125.34809747058,60359.11446799985,60359.11446799985,1423000
815,VCB,20200306,63737.996193943865,65811.4008894095,62970.06852895659,64889.88769142477,1138970
816,VCB,20200305,63123.65406195404,64198.75279293623,63123.65406195404,63814.78896044259,903660
817,VCB,20200304,62970.06852895659,62970.06852895659,62202.14086396931,62739.69022946041,604530
818,VCB,20200303,64121.9600264375,64121.9600264375,63123.65406195404,63123.65406195404,934270
819,VCB,20200302,62586.10469646295,63123.65406195404,62432.51916346549,62816.48299595913,939620
820,VCB,20200228,61511.00596548076,64045.167259938775,61511.00596548076,63277.2395949515,2210080
821,VCB,20200227,64505.923858931135,64966.6804579235,63661.203427445136,64505.923858931135,2013980
822,VCB,20200226,66041.77918890568,66041.77918890568,64505.923858931135,65273.85152391841,1229250
823,VCB,20200225,66041.77918890568,66809.70685389296,65888.19365590824,66195.36472190314,1229530
824,VCB,20200224,66041.77918890568,67577.63451888024,66041.77918890568,66963.29238689042,1050910
825,VCB,20200221,68729.52601636115,68729.52601636115,68345.56218386751,68345.56218386751,1016850
826,VCB,20200220,68883.11154935861,69420.6609148497,68499.14771686497,68729.52601636115,645400
827,VCB,20200219,68345.56218386751,68729.52601636115,68345.56218386751,68729.52601636115,319010
828,VCB,20200218,68806.31878285987,68806.31878285987,68345.56218386751,68652.73324986243,485880
829,VCB,20200217,68575.9404833637,69036.69708235607,68422.35495036624,68652.73324986243,343900
830,VCB,20200214,68345.56218386751,68959.90431585733,68345.56218386751,68575.9404833637,480800
831,VCB,20200213,68499.14771686497,68729.52601636115,68191.97665087006,68575.9404833637,686270
832,VCB,20200212,68959.90431585733,68959.90431585733,68422.35495036624,68652.73324986243,646750
833,VCB,20200211,68345.56218386751,68729.52601636115,68268.76941736879,68499.14771686497,568210
834,VCB,20200210,68499.14771686497,68729.52601636115,67961.59835137388,68268.76941736879,630060
835,VCB,20200207,68959.90431585733,69727.83198084461,68345.56218386751,69113.48984885479,1207540
836,VCB,20200206,68345.56218386751,69804.62474734333,68191.97665087006,68652.73324986243,963940
837,VCB,20200205,69267.07538185225,69420.6609148497,68191.97665087006,68268.76941736879,931310
838,VCB,20200204,68345.56218386751,68959.90431585733,67347.25621938406,68959.90431585733,1409210
